"CIK","Company_Name","Symbol","Exchange","CUSIP","AssetType","Sector"
"937966","ASML HOLDING NV","ASML","Nasdaq","N07059210","EQUITY","Technology"
"1730168","Broadcom Inc.","AVGO","Nasdaq","11135F101","EQUITY","Technology"
"858877","CISCO SYSTEMS, INC.","CSCO","Nasdaq","17275R102","EQUITY","Telecommunications"
"901832","ASTRAZENECA PLC","AZN","Nasdaq","46353108","EQUITY","Health Care"
"1283699","T-Mobile US, Inc.","TMUS","Nasdaq","872590104","EQUITY","Telecommunications"
"72971","WELLS FARGO & COMPANY/MN","WFC","NYSE","949746101","EQUITY","Finance"
"1467373","Accenture plc","ACN","NYSE","G1151C101","EQUITY","Consumer Discretionary"
"1114448","NOVARTIS AG","NVS","NYSE","66987V109","EQUITY","Health Care"
"1800","ABBOTT LABORATORIES","ABT","NYSE","2824100","EQUITY","Health Care"
"1108524","Salesforce, Inc.","CRM","NYSE","79466L302","EQUITY","Technology"
"1163165","CONOCOPHILLIPS","COP","NYSE","20825C104","EQUITY","Energy"
"14272","BRISTOL MYERS SQUIBB CO","BMY","NYSE","110122108","EQUITY","Health Care"
"1061736","MEXICAN ECONOMIC DEVELOPMENT INC","FMX","NYSE","344419106","EQUITY","Consumer Staples"
"732712","VERIZON COMMUNICATIONS INC","VZ","NYSE","92343V104","EQUITY","Telecommunications"
"1090727","UNITED PARCEL SERVICE INC","UPS","NYSE","911312106","EQUITY","Industrials"
"753308","NEXTERA ENERGY INC","NEE","NYSE","65339F101","EQUITY","Technology"
"97476","TEXAS INSTRUMENTS INC","TXN","Nasdaq","882508104","EQUITY","Technology"
"1707925","LINDE PLC","LIN","NYSE","G5494J103","EQUITY","Industrials"
"796343","ADOBE INC.","ADBE","Nasdaq","00724F101","EQUITY","Technology"
"318154","AMGEN INC","AMGN","Nasdaq","31162100","EQUITY","Health Care"
"320187","NIKE, Inc.","NKE","NYSE","654106103","EQUITY","Consumer Discretionary"
"1413329","Philip Morris International Inc.","PM","NYSE","718172109","EQUITY","Health Care"
"895421","MORGAN STANLEY","MS","NYSE","617446448","EQUITY","Finance"
"316709","SCHWAB CHARLES CORP","SCHW","NYSE","808513105","EQUITY","Finance"
"1166691","COMCAST CORP","CMCSA","Nasdaq","20030N101","EQUITY","Telecommunications"
"879764","TotalEnergies SE","TTE","NYSE","8.92E+113","EQUITY","Energy"
"804328","QUALCOMM INC/DE","QCOM","Nasdaq","747525103","EQUITY","Technology"
"101829","RAYTHEON TECHNOLOGIES CORP","RTX","NYSE","7.55E+105","EQUITY","Industrials"
"1065280","NETFLIX INC","NFLX","Nasdaq","64110L106","EQUITY","Consumer Discretionary"
"1000275","ROYAL BANK OF CANADA","RY","NYSE","780087102","EQUITY","Finance"
"100885","UNION PACIFIC CORP","UNP","NYSE","907818108","EQUITY","Industrials"
"773840","HONEYWELL INTERNATIONAL INC","HON","Nasdaq","438516106","EQUITY","Industrials"
"64803","CVS HEALTH Corp","CVS","NYSE","126650100","EQUITY","Consumer Staples"
"732717","AT&T INC.","T","NYSE","00206R102","EQUITY","Telecommunications"
"936468","LOCKHEED MARTIN CORP","LMT","NYSE","539830109","EQUITY","Industrials"
"896878","INTUIT INC","INTU","Nasdaq","461202103","EQUITY","Technology"
"315189","DEERE & CO","DE","NYSE","244199105","EQUITY","Industrials"
"60667","LOWES COMPANIES INC","LOW","NYSE","548661107","EQUITY","Consumer Discretionary"
"51143","INTERNATIONAL BUSINESS MACHINES CORP","IBM","NYSE","459200101","EQUITY","Technology"
"947263","TORONTO DOMINION BANK","TD","NYSE","891160509","EQUITY","Finance"
"217410","UNILEVER PLC","UL","NYSE","904767704","EQUITY","Consumer Discretionary"
"1613103","Medtronic plc","MDT","NYSE","G5960L103","EQUITY","Health Care"
"1144967","HDFC BANK LTD","HDB","NYSE","40415F101","EQUITY","Finance"
"886982","GOLDMAN SACHS GROUP INC","GS","NYSE","38141G104","EQUITY","Finance"
"50863","INTEL CORP","INTC","Nasdaq","458140100","EQUITY","Technology"
"1089113","HSBC HOLDINGS PLC","HSBC","NYSE","404280406","EQUITY","Finance"
"1140625","EQUINOR ASA","EQNR","NYSE","29446M102","EQUITY","Energy"
"1000184","SAP SE","SAP","NYSE","803054204","EQUITY","Technology"
"4962","AMERICAN EXPRESS CO","AXP","NYSE","25816109","EQUITY","Finance"
"1119639","PETROBRAS - PETROLEO BRASILEIRO SA","PBR","NYSE","71654V408","EQUITY","Energy"
"1393818","Blackstone Inc.","BX","NYSE","09260D107","EQUITY","Finance"
"829224","STARBUCKS CORP","SBUX","Nasdaq","855244109","EQUITY","Consumer Discretionary"
"1121404","Sanofi","SNY","Nasdaq","80105N105","EQUITY","Health Care"
"18230","CATERPILLAR INC","CAT","NYSE","149123101","EQUITY","Industrials"
"64040","S&P Global Inc.","SPGI","NYSE","78409V104","EQUITY","Finance"
"1633917","PayPal Holdings, Inc.","PYPL","Nasdaq","70450Y103","EQUITY","Consumer Discretionary"
"8670","AUTOMATIC DATA PROCESSING INC","ADP","Nasdaq","53015103","EQUITY","Technology"
"313807","BP PLC","BP","NYSE","55622104","EQUITY","Energy"
"1045609","Prologis, Inc.","PLD","NYSE","74340W103","EQUITY","Real Estate"
"835403","DIAGEO PLC","DEO","NYSE","25243Q205","EQUITY","Consumer Staples"
"1668717","Anheuser-Busch InBev SA/NV","BUD","NYSE","03524A108","EQUITY","Consumer Staples"
"1739940","Cigna Corp","CI","NYSE","125523100","EQUITY","Health Care"
"1364742","BlackRock Inc.","BLK","NYSE","09247X101","EQUITY","Finance"
"863064","RIO TINTO PLC","RIO","NYSE","767204100","EQUITY","Basic Materials"
"831001","CITIGROUP INC","C","NYSE","172967424","EQUITY","Finance"
"1053507","AMERICAN TOWER CORP /MA/","AMT","NYSE","03027X100","EQUITY","Real Estate"
"882095","GILEAD SCIENCES, INC.","GILD","Nasdaq","375558103","EQUITY","Health Care"
"896159","Chubb Ltd","CB","NYSE","H1467J104","EQUITY","Finance"
"1303523","British American Tobacco p.l.c.","BTI","NYSE","110448107","EQUITY","Health Care"
"12927","BOEING CO","BA","NYSE","97023105","EQUITY","Industrials"
"310764","STRYKER CORP","SYK","NYSE","863667101","EQUITY","Health Care"
"764180","ALTRIA GROUP, INC.","MO","NYSE","02209S103","EQUITY","Health Care"
"1133421","NORTHROP GRUMMAN CORP /DE/","NOC","NYSE","666807102","EQUITY","Industrials"
"313838","Sony Group Corp","SONY","NYSE","835699307","EQUITY","Consumer Staples"
"40545","GENERAL ELECTRIC CO","GE","NYSE","369604301","EQUITY","Technology"
"1737806","Pinduoduo Inc.","PDD","Nasdaq","722304102","EQUITY","Consumer Discretionary"
"1103982","Mondelez International, Inc.","MDLZ","Nasdaq","609207105","EQUITY","Consumer Staples"
"16868","CANADIAN NATIONAL RAILWAY CO","CNI","NYSE","136375102","EQUITY","Industrials"
"821189","EOG RESOURCES INC","EOG","NYSE","26875P101","EQUITY","Energy"
"109198","TJX COMPANIES INC /DE/","TJX","NYSE","872540109","EQUITY","Consumer Discretionary"
"62709","MARSH & MCLENNAN COMPANIES, INC.","MMC","NYSE","571748102","EQUITY","Finance"
"872589","REGENERON PHARMACEUTICALS, INC.","REGN","Nasdaq","75886F107","EQUITY","Health Care"
"1035267","INTUITIVE SURGICAL INC","ISRG","Nasdaq","46120E602","EQUITY","Health Care"
"1067491","Infosys Ltd","INFY","NYSE","456788108","EQUITY","Technology"
"875320","VERTEX PHARMACEUTICALS INC / MA","VRTX","Nasdaq","92532F100","EQUITY","Health Care"
"895728","ENBRIDGE INC","ENB","NYSE","29250N105","EQUITY","Energy"
"1559720","Airbnb, Inc.","ABNB","Nasdaq","9066101","EQUITY","Finance"
"1103838","ICICI BANK LTD","IBN","NYSE","45104G104","EQUITY","Finance"
"6281","ANALOG DEVICES INC","ADI","Nasdaq","32654105","EQUITY","Technology"
"1001250","ESTEE LAUDER COMPANIES INC","EL","NYSE","518439104","EQUITY","Consumer Discretionary"
"27419","TARGET CORP","TGT","NYSE","8.76E+110","EQUITY","Consumer Discretionary"
"6951","APPLIED MATERIALS INC /DE","AMAT","Nasdaq","38222105","EQUITY","Technology"
"80661","PROGRESSIVE CORP/OH/","PGR","NYSE","743315103","EQUITY","Finance"
"1373715","ServiceNow, Inc.","NOW","NYSE","81762P102","EQUITY","Technology"
"1075531","Booking Holdings Inc.","BKNG","Nasdaq","09857L108","EQUITY","Consumer Discretionary"
"92122","SOUTHERN CO","SO","NYSE","842587107","EQUITY","Utilities"
"87347","SCHLUMBERGER LIMITED/NV","SLB","NYSE","806857108","EQUITY","Energy"
"2488","ADVANCED MICRO DEVICES INC","AMD","Nasdaq","7903107","EQUITY","Technology"
"1555280","Zoetis Inc.","ZTS","NYSE","98978V103","EQUITY","Health Care"
"1326160","Duke Energy CORP","DUK","NYSE","26441C204","EQUITY","Utilities"
"16875","CANADIAN PACIFIC RAILWAY LTD/CN","CP","NYSE","13645T100","EQUITY","Industrials"
"1017413","CANADIAN NATURAL RESOURCES LTD","CNQ","NYSE","136385101","EQUITY","Energy"
"40533","GENERAL DYNAMICS CORP","GD","NYSE","369550108","EQUITY","Industrials"
"823768","WASTE MANAGEMENT INC","WM","NYSE","94106L109","EQUITY","Utilities"
"1549802","JD.com, Inc.","JD","Nasdaq","47215P106","EQUITY","Consumer Discretionary"
"797468","OCCIDENTAL PETROLEUM CORP /DE/","OXY","NYSE","674599105","EQUITY","Energy"
"1131399","GSK PLC","GSK","NYSE","37733W105","EQUITY","Health Care"
"917851","Vale S.A.","VALE","NYSE","9.19E+109","EQUITY","Basic Materials"
"713676","PNC FINANCIAL SERVICES GROUP, INC.","PNC","NYSE","693475105","EQUITY","Finance"
"66740","3M CO","MMM","NYSE","88579Y101","EQUITY","Health Care"
"49071","HUMANA INC","HUM","NYSE","444859102","EQUITY","Health Care"
"1001085","BROOKFIELD ASSET MANAGEMENT INC.","BAM","NYSE","112585104","EQUITY","Consumer Discretionary"
"10795","BECTON DICKINSON & CO","BDX","NYSE","75887109","EQUITY","Health Care"
"36104","US BANCORP \DE\","USB","NYSE","902973304","EQUITY","Finance"
"1156375","CME GROUP INC.","CME","Nasdaq","12572Q105","EQUITY","Finance"
"49826","ILLINOIS TOOL WORKS INC","ITW","NYSE","452308109","EQUITY","Industrials"
"927971","BANK OF MONTREAL /CAN/","BMO","NYSE","63671101","EQUITY","Finance"
"723125","MICRON TECHNOLOGY INC","MU","Nasdaq","595112103","EQUITY","Technology"
"21665","COLGATE PALMOLIVE CO","CL","NYSE","194162103","EQUITY","Consumer Discretionary"
"1018724","AMAZON COM INC","AMZN","Nasdaq","23135106","EQUITY","Consumer Discretionary"
"67088","MITSUBISHI UFJ FINANCIAL GROUP INC","MUFG","NYSE","606822104","EQUITY","Finance"
"315293","Aon plc","AON","NYSE","G0403H108","EQUITY","Finance"
"885725","BOSTON SCIENTIFIC CORP","BSX","NYSE","101137107","EQUITY","Health Care"
"277948","CSX CORP","CSX","Nasdaq","126408103","EQUITY","Industrials"
"1132597","Itau Unibanco Holding S.A.","ITUB","NYSE","465562106","EQUITY","Finance"
"9631","BANK OF NOVA SCOTIA","BNS","NYSE","64149107","EQUITY","Finance"
"1640147","Snowflake Inc.","SNOW","NYSE","833445109","EQUITY","Technology"
"860730","HCA Healthcare, Inc.","HCA","NYSE","40412C101","EQUITY","Health Care"
"715957","DOMINION ENERGY, INC","D","NYSE","25746U109","EQUITY","Utilities"
"1510295","Marathon Petroleum Corp","MPC","NYSE","56585A102","EQUITY","Energy"
"1551182","Eaton Corp plc","ETN","NYSE","G29183103","EQUITY","Technology"
"1543151","Uber Technologies, Inc","UBER","NYSE","90353T100","EQUITY","Consumer Discretionary"
"89800","SHERWIN WILLIAMS CO","SHW","NYSE","824348106","EQUITY","Consumer Discretionary"
"1099219","METLIFE INC","MET","NYSE","59156R108","EQUITY","Finance"
"92230","TRUIST FINANCIAL CORP","TFC","NYSE","89832Q109","EQUITY","Finance"
"1061219","ENTERPRISE PRODUCTS PARTNERS L.P.","EPD","NYSE","293792107","EQUITY","Utilities"
"29534","DOLLAR GENERAL CORP","DG","NYSE","256677105","EQUITY","Consumer Discretionary"
"2969","Air Products & Chemicals, Inc.","APD","NYSE","9158106","EQUITY","Industrials"
"1099800","Edwards Lifesciences Corp","EW","NYSE","2.82E+112","EQUITY","Health Care"
"1418135","Keurig Dr Pepper Inc.","KDP","Nasdaq","49271V100","EQUITY","Consumer Staples"
"1051470","CROWN CASTLE INC.","CCI","NYSE","22822V101","EQUITY","Real Estate"
"927653","MCKESSON CORP","MCK","NYSE","58155Q103","EQUITY","Health Care"
"1650372","Atlassian Corp","TEAM","Nasdaq","G06242104","EQUITY","Technology"
"1091667","CHARTER COMMUNICATIONS, INC. /MO/","CHTR","Nasdaq","16119P108","EQUITY","Telecommunications"
"1404912","KKR & Co. Inc.","KKR","NYSE","48251W104","EQUITY","Finance"
"1571949","Intercontinental Exchange, Inc.","ICE","NYSE","45866F104","EQUITY","Finance"
"1610520","UBS Group AG","UBS","NYSE","H42097107","EQUITY","Finance"
"702165","NORFOLK SOUTHERN CORP","NSC","NYSE","655844108","EQUITY","Industrials"
"1393311","Public Storage","PSA","NYSE","74460D109","EQUITY","Real Estate"
"1467858","General Motors Co","GM","NYSE","37045V100","EQUITY","Consumer Discretionary"
"1048286","MARRIOTT INTERNATIONAL INC /MD/","MAR","Nasdaq","571903202","EQUITY","Consumer Discretionary"
"707549","LAM RESEARCH CORP","LRCX","Nasdaq","512807108","EQUITY","Technology"
"1035002","VALERO ENERGY CORP/TX","VLO","NYSE","91913Y100","EQUITY","Energy"
"7084","Archer-Daniels-Midland Co","ADM","NYSE","39483102","EQUITY","Consumer Staples"
"1682852","Moderna, Inc.","MRNA","Nasdaq","60770K107","EQUITY","Health Care"
"1075124","THOMSON REUTERS CORP /CAN/","TRI","NYSE","884903709","EQUITY","Consumer Discretionary"
"32604","EMERSON ELECTRIC CO","EMR","NYSE","291011104","EQUITY","Technology"
"929869","RELX PLC","RELX","NYSE","759530108","EQUITY","Consumer Discretionary"
"37996","FORD MOTOR CO","F","NYSE","345370860","EQUITY","Consumer Discretionary"
"1090012","DEVON ENERGY CORP/DE","DVN","NYSE","25179M103","EQUITY","Energy"
"1101239","EQUINIX INC","EQIX","Nasdaq","29444U700","EQUITY","Real Estate"
"1327567","Palo Alto Networks Inc","PANW","Nasdaq","697435105","EQUITY","Technology"
"1534701","Phillips 66","PSX","NYSE","718546104","EQUITY","Energy"
"898173","O REILLY AUTOMOTIVE INC","ORLY","Nasdaq","67103H107","EQUITY","Consumer Discretionary"
"1136893","Fidelity National Information Services, Inc.","FIS","NYSE","31620M106","EQUITY","Consumer Discretionary"
"202058","L3HARRIS TECHNOLOGIES, INC. /DE/","LHX","NYSE","502431109","EQUITY","Industrials"
"1565025","AMBEV S.A.","ABEV","NYSE","02319V103","EQUITY","Consumer Staples"
"47111","HERSHEY CO","HSY","NYSE","427866108","EQUITY","Consumer Staples"
"865752","Monster Beverage Corp","MNST","Nasdaq","61174X109","EQUITY","Consumer Staples"
"40704","GENERAL MILLS INC","GIS","NYSE","370334104","EQUITY","Consumer Staples"
"1471055","Banco Santander (Brasil) S.A.","BSBR","NYSE","05967A107","EQUITY","Finance"
"1032208","SEMPRA ENERGY","SRE","NYSE","816851109","EQUITY","Utilities"
"831259","FREEPORT-MCMORAN INC","FCX","NYSE","35671D857","EQUITY","Basic Materials"
"311337","SUNCOR ENERGY INC","SU","NYSE","867224107","EQUITY","Energy"
"883241","SYNOPSYS INC","SNPS","Nasdaq","871607107","EQUITY","Technology"
"1059556","MOODYS CORP /DE/","MCO","NYSE","615369105","EQUITY","Finance"
"1755672","Corteva, Inc.","CTVA","NYSE","22052L104","EQUITY","Consumer Staples"
"4904","AMERICAN ELECTRIC POWER CO INC","AEP","Nasdaq","25537101","EQUITY","Utilities"
"1725964","Nutrien Ltd.","NTR","NYSE","67077M108","EQUITY","Industrials"
"891478","Banco Santander, S.A.","SAN","NYSE","05964H105","EQUITY","Finance"
"1232384","TC ENERGY CORP","TRP","NYSE","87807B107","EQUITY","Utilities"
"866787","AUTOZONE INC","AZO","NYSE","53332102","EQUITY","Consumer Discretionary"
"3570","Cheniere Energy, Inc.","LNG","NYSE","16411R208","EQUITY","Utilities"
"813672","CADENCE DESIGN SYSTEMS INC","CDNS","Nasdaq","127387108","EQUITY","Technology"
"769397","Autodesk, Inc.","ADSK","Nasdaq","52769106","EQUITY","Technology"
"16918","CONSTELLATION BRANDS, INC.","STZ","NYSE","21036P108","EQUITY","Consumer Staples"
"1637459","Kraft Heinz Co","KHC","Nasdaq","500754106","EQUITY","Consumer Staples"
"1058090","CHIPOTLE MEXICAN GRILL INC","CMG","NYSE","169656105","EQUITY","Consumer Discretionary"
"820313","AMPHENOL CORP /DE/","APH","NYSE","32095101","EQUITY","Technology"
"1060391","REPUBLIC SERVICES, INC.","RSG","NYSE","760759100","EQUITY","Utilities"
"31462","ECOLAB INC.","ECL","NYSE","278865100","EQUITY","Consumer Discretionary"
"1160330","BANK BRADESCO","BBD","NYSE","59460303","EQUITY","Finance"
"1099590","MERCADOLIBRE INC","MELI","Nasdaq","58733R102","EQUITY","Consumer Discretionary"
"1262039","Fortinet, Inc.","FTNT","Nasdaq","3.5E+113","EQUITY","Technology"
"1071739","CENTENE CORP","CNC","NYSE","15135B101","EQUITY","Health Care"
"86312","TRAVELERS COMPANIES, INC.","TRV","NYSE","8.94E+113","EQUITY","Finance"
"1002242","ENI SPA","E","NYSE","26874R108","EQUITY","Energy"
"4447","HESS CORP","HES","NYSE","42809H107","EQUITY","Energy"
"1605484","Stellantis N.V.","STLA","NYSE","N82405106","EQUITY","Consumer Discretionary"
"1110646","NetEase, Inc.","NTES","Nasdaq","64110W102","EQUITY","Technology"
"723254","CINTAS CORP","CTAS","Nasdaq","172908105","EQUITY","Consumer Discretionary"
"319201","KLA CORP","KLAC","Nasdaq","482480100","EQUITY","Technology"
"5272","AMERICAN INTERNATIONAL GROUP, INC.","AIG","NYSE","26874784","EQUITY","Finance"
"96021","SYSCO CORP","SYY","NYSE","871829107","EQUITY","Consumer Discretionary"
"1048911","FEDEX CORP","FDX","NYSE","31428X106","EQUITY","Consumer Discretionary"
"723531","PAYCHEX INC","PAYX","Nasdaq","704326107","EQUITY","Consumer Discretionary"
"1045520","CANADIAN IMPERIAL BANK OF COMMERCE /CAN/","CM","NYSE","136069101","EQUITY","Finance"
"718940","BCE INC","BCE","NYSE","05534B760","EQUITY","Telecommunications"
"882835","ROPER TECHNOLOGIES INC","ROP","NYSE","776696106","EQUITY","Industrials"
"1506307","KINDER MORGAN, INC.","KMI","NYSE","49456B101","EQUITY","Utilities"
"1395064","TAKEDA PHARMACEUTICAL CO LTD","TAK","NYSE","874060205","EQUITY","Health Care"
"1090872","AGILENT TECHNOLOGIES, INC.","A","NYSE","00846U101","EQUITY","Industrials"
"55785","KIMBERLY CLARK CORP","KMB","NYSE","494368103","EQUITY","Consumer Discretionary"
"875045","BIOGEN INC.","BIIB","Nasdaq","09062X103","EQUITY","Health Care"
"1413447","NXP Semiconductors N.V.","NXPI","Nasdaq","N6596X109","EQUITY","Technology"
"4977","AFLAC INC","AFL","NYSE","1055102","EQUITY","Finance"
"1022837","SUMITOMO MITSUI FINANCIAL GROUP, INC.","SMFG","NYSE","86562M209","EQUITY","Finance"
"1327811","Workday, Inc.","WDAY","Nasdaq","98138H101","EQUITY","Technology"
"107263","WILLIAMS COMPANIES, INC.","WMB","NYSE","969457100","EQUITY","Utilities"
"1093557","DEXCOM INC","DXCM","Nasdaq","252131107","EQUITY","Health Care"
"68505","Motorola Solutions, Inc.","MSI","NYSE","620076307","EQUITY","Technology"
"1397187","lululemon athletica inc.","LULU","Nasdaq","550021109","EQUITY","Consumer Discretionary"
"1004315","NATIONAL GRID PLC","NGG","NYSE","636274409","EQUITY","Utilities"
"715153","HONDA MOTOR CO LTD","HMC","NYSE","438128308","EQUITY","Consumer Discretionary"
"1109357","EXELON CORP","EXC","Nasdaq","30161N101","EQUITY","Utilities"
"354190","Arthur J. Gallagher & Co.","AJG","NYSE","363576109","EQUITY","Finance"
"1063761","SIMON PROPERTY GROUP INC /DE/","SPG","NYSE","828806109","EQUITY","Real Estate"
"1594805","SHOPIFY INC.","SHOP","NYSE","82509L107","EQUITY","Technology"
"1001838","SOUTHERN COPPER CORP/","SCCO","NYSE","84265V105","EQUITY","Basic Materials"
"1535527","CrowdStrike Holdings, Inc.","CRWD","Nasdaq","22788C105","EQUITY","Technology"
"833444","Johnson Controls International plc","JCI","NYSE","G51502105","EQUITY","Industrials"
"1276187","Energy Transfer LP","ET","NYSE","29273V100","EQUITY","Utilities"
"899051","ALLSTATE CORP","ALL","NYSE","20002101","EQUITY","Finance"
"1385157","TE Connectivity Ltd.","TEL","NYSE","H84989104","EQUITY","Technology"
"1137774","PRUDENTIAL FINANCIAL INC","PRU","NYSE","744320102","EQUITY","Finance"
"927628","CAPITAL ONE FINANCIAL CORP","COF","NYSE","14040H105","EQUITY","Finance"
"1475260","CENOVUS ENERGY INC.","CVE","NYSE","15135U109","EQUITY","Energy"
"1585689","Hilton Worldwide Holdings Inc.","HLT","NYSE","43300A203","EQUITY","Consumer Discretionary"
"1039765","ING GROEP NV","ING","NYSE","456837103","EQUITY","Finance"
"726728","REALTY INCOME CORP","O","NYSE","756109104","EQUITY","Real Estate"
"1004980","PG&E Corp","PCG","NYSE","69331C108","EQUITY","Utilities"
"73309","NUCOR CORP","NUE","NYSE","670346105","EQUITY","Industrials"
"76334","PARKER HANNIFIN CORP","PH","NYSE","701094104","EQUITY","Industrials"
"712515","ELECTRONIC ARTS INC.","EA","Nasdaq","285512109","EQUITY","Technology"
"1110803","ILLUMINA, INC.","ILMN","Nasdaq","452327109","EQUITY","Health Care"
"1648416","Ferrari N.V.","RACE","NYSE","N3167Y103","EQUITY","Consumer Discretionary"
"1318220","Waste Connections, Inc.","WCN","NYSE","94106B101","EQUITY","Utilities"
"827054","MICROCHIP TECHNOLOGY INC","MCHP","Nasdaq","595017104","EQUITY","Technology"
"1463101","Enphase Energy, Inc.","ENPH","Nasdaq","29355A107","EQUITY","Technology"
"72903","XCEL ENERGY INC","XEL","Nasdaq","98389B100","EQUITY","Utilities"
"1596532","Arista Networks, Inc.","ANET","NYSE","40413106","EQUITY","Telecommunications"
"1478242","IQVIA HOLDINGS INC.","IQV","NYSE","46266C105","EQUITY","Health Care"
"1835632","Marvell Technology, Inc.","MRVL","Nasdaq","573874104","EQUITY","Technology"
"1751788","DOW INC.","DOW","NYSE","260557103","EQUITY","Industrials"
"1164727","NEWMONT Corp /DE/","NEM","NYSE","651639106","EQUITY","Basic Materials"
"1466258","Trane Technologies plc","TT","NYSE","G8994E103","EQUITY","Industrials"
"1552000","MPLX LP","MPLX","NYSE","55336V100","EQUITY","Energy"
"1512673","Block, Inc.","SQ","NYSE","852234103","EQUITY","Technology"
"1390777","Bank of New York Mellon Corp","BK","NYSE","64058100","EQUITY","Finance"
"26172","CUMMINS INC","CMI","NYSE","231021106","EQUITY","Industrials"
"943819","RESMED INC","RMD","NYSE","761152107","EQUITY","Health Care"
"75362","PACCAR INC","PCAR","Nasdaq","693718108","EQUITY","Consumer Discretionary"
"935703","DOLLAR TREE, INC.","DLTR","Nasdaq","256746108","EQUITY","Consumer Discretionary"
"1408198","MSCI Inc.","MSCI","NYSE","55354G100","EQUITY","Consumer Discretionary"
"1329099","Baidu, Inc.","BIDU","Nasdaq","56752108","EQUITY","Technology"
"1381197","Interactive Brokers Group, Inc.","IBKR","Nasdaq","45841N107","EQUITY","Finance"
"1776985","BioNTech SE","BNTX","Nasdaq","09075V102","EQUITY","Health Care"
"49938","IMPERIAL OIL LTD","IMO","NYSE","453038408","EQUITY","Energy"
"839923","VODAFONE GROUP PUBLIC LTD CO","VOD","Nasdaq","92857W308","EQUITY","Telecommunications"
"1041061","YUM BRANDS INC","YUM","NYSE","988498101","EQUITY","Consumer Discretionary"
"56873","KROGER CO","KR","NYSE","501044101","EQUITY","Consumer Staples"
"1160106","Lloyds Banking Group plc","LYG","NYSE","539439109","EQUITY","Finance"
"1123360","GLOBAL PAYMENTS INC","GPN","NYSE","37940X102","EQUITY","Consumer Discretionary"
"915913","ALBEMARLE CORP","ALB","NYSE","12653101","EQUITY","Industrials"
"1058290","COGNIZANT TECHNOLOGY SOLUTIONS CORP","CTSH","Nasdaq","192446102","EQUITY","Technology"
"45012","HALLIBURTON CO","HAL","NYSE","406216101","EQUITY","Energy"
"1858681","Apollo Global Management, Inc.","APO","NYSE","03769M106","EQUITY","Finance"
"1086888","MANULIFE FINANCIAL CORP","MFC","NYSE","56501R106","EQUITY","Finance"
